Country/Region code,Country/Region name,Local authority code,Local authority name,year,median_gross_annual_earnings,price_to_earnings_ratio
E12000006,East of England,E06000031,Peterborough,2013,"23,921",5.73
E12000006,East of England,E07000008,Cambridge,2013,"31,109",9.64
E12000006,East of England,E07000009,East Cambridgeshire,2013,"27,578",7.07
E12000006,East of England,E07000010,Fenland,2013,"24,255",5.31
E12000006,East of England,E07000011,Huntingdonshire,2013,"28,032",6.60
E12000006,East of England,E07000012,South Cambridgeshire,2013,"34,307",7.14
E12000006,East of England,E07000067,Braintree,2013,"30,657",6.20
E12000006,East of England,E07000071,Colchester,2013,"27,164",6.83
E12000006,East of England,E07000076,Tendring,2013,"25,481",5.97
E12000006,East of England,E07000077,Uttlesford,2013,"30,403",9.54
E12000006,East of England,E07000095,Broxbourne,2013,"31,172",7.60
E12000006,East of England,E07000143,Breckland,2013,"22,696",6.83
E12000006,East of England,E07000144,Broadland,2013,"27,834",6.36
E12000006,East of England,E07000145,Great Yarmouth,2013,"23,266",5.80
E12000006,East of England,E07000146,King's Lynn and West Norfolk,2013,"23,684",6.54
E12000006,East of England,E07000147,North Norfolk,2013,"21,829",8.25
E12000006,East of England,E07000148,Norwich,2013,"23,889",6.15
E12000006,East of England,E07000149,South Norfolk,2013,"26,167",6.92
E12000006,East of England,E07000200,Babergh,2013,"25,186",7.54
E12000006,East of England,E07000202,Ipswich,2013,"24,200",5.64
E12000006,East of England,E07000203,Mid Suffolk,2013,"27,075",6.54
E12000006,East of England,E07000244,East Suffolk,2013,"24,785",6.94
E12000006,East of England,E07000245,West Suffolk,2013,"23,604",7.41
E12000006,East of England,E06000031,Peterborough,2014,"24,277",6.09
E12000006,East of England,E07000008,Cambridge,2014,"31,430",10.82
E12000006,East of England,E07000009,East Cambridgeshire,2014,"27,419",7.48
E12000006,East of England,E07000010,Fenland,2014,"24,459",5.72
E12000006,East of England,E07000011,Huntingdonshire,2014,"28,816",6.68
E12000006,East of England,E07000012,South Cambridgeshire,2014,"33,508",7.76
E12000006,East of England,E07000067,Braintree,2014,"31,331",6.54
E12000006,East of England,E07000071,Colchester,2014,"28,280",6.72
E12000006,East of England,E07000076,Tendring,2014,"25,293",6.33
E12000006,East of England,E07000077,Uttlesford,2014,"31,019",10.16
E12000006,East of England,E07000095,Broxbourne,2014,"30,328",8.24
E12000006,East of England,E07000143,Breckland,2014,"23,264",7.20
E12000006,East of England,E07000144,Broadland,2014,"26,441",7.19
E12000006,East of England,E07000145,Great Yarmouth,2014,"24,183",5.67
E12000006,East of England,E07000146,King's Lynn and West Norfolk,2014,"25,412",6.30
E12000006,East of England,E07000147,North Norfolk,2014,"24,767",7.75
E12000006,East of England,E07000148,Norwich,2014,"22,388",6.92
E12000006,East of England,E07000149,South Norfolk,2014,"27,149",7.00
E12000006,East of England,E07000200,Babergh,2014,"28,086",7.76
E12000006,East of England,E07000202,Ipswich,2014,"25,669",5.75
E12000006,East of England,E07000203,Mid Suffolk,2014,"27,802",6.94
E12000006,East of England,E07000244,East Suffolk,2014,"26,980",6.67
E12000006,East of England,E07000245,West Suffolk,2014,"23,663",7.86
E12000006,East of England,E06000031,Peterborough,2015,"24,028",6.37
E12000006,East of England,E07000008,Cambridge,2015,"31,345",12.30
E12000006,East of England,E07000009,East Cambridgeshire,2015,"29,418",7.82
E12000006,East of England,E07000010,Fenland,2015,"24,727",6.00
E12000006,East of England,E07000011,Huntingdonshire,2015,"29,051",7.23
E12000006,East of England,E07000012,South Cambridgeshire,2015,"31,567",9.66
E12000006,East of England,E07000067,Braintree,2015,"30,722",7.23
E12000006,East of England,E07000071,Colchester,2015,"28,515",7.36
E12000006,East of England,E07000076,Tendring,2015,"25,427",6.76
E12000006,East of England,E07000077,Uttlesford,2015,"32,183",10.25
E12000006,East of England,E07000095,Broxbourne,2015,"32,000",8.66
E12000006,East of England,E07000143,Breckland,2015,"23,408",7.56
E12000006,East of England,E07000144,Broadland,2015,"26,531",7.73
E12000006,East of England,E07000145,Great Yarmouth,2015,"23,684",6.16
E12000006,East of England,E07000146,King's Lynn and West Norfolk,2015,"25,131",6.76
E12000006,East of England,E07000147,North Norfolk,2015,"23,902",8.37
E12000006,East of England,E07000148,Norwich,2015,"23,817",6.93
E12000006,East of England,E07000149,South Norfolk,2015,"29,386",6.98
E12000006,East of England,E07000200,Babergh,2015,"27,757",8.11
E12000006,East of England,E07000202,Ipswich,2015,"25,995",6.08
E12000006,East of England,E07000203,Mid Suffolk,2015,"29,488",7.05
E12000006,East of England,E07000244,East Suffolk,2015,"26,996",7.41
E12000006,East of England,E07000245,West Suffolk,2015,"25,090",8.33
