"Table 5c - Ratio of median house price to median gross annual residence-based earnings by local authority district, England and Wales, 2002 to 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region code,Country/Region name,Local authority code,Local authority name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,5-year average
E12000001,North East,E06000001,Hartlepool,2.86,3.02,2.82,2.86,4.14,4.63,4.70,3.98,4.75,4.32,3.98,4.79,4.69,4.74,4.62,4.82,4.60,4.90,4.54,5.05,4.45,4.77,4.51,4.66
E12000001,North East,E06000002,Middlesbrough,2.83,2.65,3.74,4.23,5.17,5.40,4.58,5.17,5.10,4.98,4.62,4.98,5.28,5.05,5.25,5.18,5.23,5.18,5.07,5.32,5.10,5.16,4.59,5.05
E12000001,North East,E06000003,Redcar and Cleveland,2.83,3.95,4.37,4.67,5.66,5.52,5.71,4.98,5.57,4.74,5.19,4.80,4.90,5.00,5.33,5.12,5.37,5.03,5.06,5.84,5.12,5.21,5.23,5.29
E12000001,North East,E06000004,Stockton-on-Tees,3.33,4.03,4.54,4.99,5.53,5.64,5.44,5.00,5.32,4.95,5.07,4.79,5.09,5.07,4.86,5.37,5.43,4.99,5.19,5.64,5.29,5.29,4.82,5.25
E12000001,North East,E06000005,Darlington,3.42,4.06,5.12,5.97,5.94,5.45,5.88,5.46,5.45,5.16,5.26,5.34,4.76,5.18,4.83,4.96,5.26,5.07,5.55,5.29,5.49,5.41,4.68,5.28
E12000001,North East,E06000047,County Durham,[x],3.32,4.25,4.77,5.28,5.11,5.12,4.68,4.84,4.38,4.20,4.36,4.46,4.45,4.44,4.44,4.44,4.39,4.25,4.80,4.29,4.16,4.02,4.30
E12000001,North East,E06000057,Northumberland,[x],4.42,5.31,5.72,6.14,6.33,6.39,5.59,5.76,5.49,5.59,5.46,5.86,6.17,5.95,5.90,6.01,6.16,5.97,6.71,5.95,5.99,5.56,6.04
E12000001,North East,E08000021,Newcastle upon Tyne,3.94,4.84,6.11,5.95,6.54,6.82,6.52,5.98,6.28,6.13,5.63,5.66,5.56,5.68,5.83,5.84,5.94,5.89,5.68,6.16,6.13,6.25,5.42,5.93
E12000001,North East,E08000022,North Tyneside,3.45,4.61,5.59,5.98,6.32,6.43,5.91,5.38,5.90,5.52,5.57,5.67,5.86,6.02,5.94,5.92,5.90,5.89,5.83,6.37,5.82,6.06,5.16,5.85
E12000001,North East,E08000023,South Tyneside,2.70,3.18,4.58,5.02,5.20,5.59,5.31,4.77,5.06,4.70,4.56,4.77,5.02,5.31,5.56,5.26,5.48,5.24,5.09,5.47,4.99,5.16,4.52,5.05
E12000001,North East,E08000024,Sunderland,3.32,3.93,4.88,5.16,5.35,5.45,5.39,4.87,4.92,4.75,4.77,4.64,4.76,4.87,4.77,5.02,4.95,5.11,4.84,5.83,5.27,5.02,4.28,5.05
E12000001,North East,E08000037,Gateshead,3.36,4.25,5.12,5.24,6.06,5.98,5.73,5.42,5.20,5.11,4.76,5.06,4.98,5.21,5.19,5.04,5.23,5.28,5.36,5.67,4.92,4.88,4.71,5.11
E12000002,North West,E06000006,Halton,3.17,4.10,4.58,5.60,5.83,5.38,5.25,5.19,5.47,4.96,4.83,4.80,4.96,5.01,5.34,5.24,5.07,5.34,5.04,5.73,5.21,5.08,4.85,5.18
